topic,headline,subline,link,author,date,geoloc,article,summary
nice to meat you,Prime Video Drops Trailer for ‘The Horror of Dolores Roach’ Series,"The darkly comedic drama from Aaron Mark, based on the hit Spotify podcast of the same name, is a contemporary Sweeney Todd-inspired urban legend of love, betrayal, weed, cannibalism, and survival of the fittest, premiering July 7 on the streamer.",https://www.awn.com/news/prime-video-drops-trailer-horror-dolores-roach-series,Laurén Alexa,2023-06-20,all,"Prime Video’s ‘The Horror of Dolores Roach.’ Image © 2022 Amazon Content Services LLC.Ready for some summer spooks? Prime Video has released the official trailer for The Horror of Dolores Roach, a darkly comedic drama series from Aaron Mark in collaboration with Amazon Studios, Blumhouse Television, Spotify, and GloNation.Starring Justina Machado as Dolores Roach, the eight-episode Amazon Original series is a contemporary Sweeney Todd-inspired urban legend of love, betrayal, weed, cannibalism, and survival of the fittest. Released after an unjust 16-year prison sentence, Dolores reunites with an old friend, Luis (Alejandro Hernandez), who lets her live and work as a masseuse in the basement under his empanada shop. When the promise of her newfound stability is threatened, “Magic Hands” Dolores is driven to shocking extremes to survive.The series also stars Kita Updike as Nellie Morris, and K. Todd Freeman as Jeremiah. Originally created as the one-woman play Empanada Loca, Mark created, wrote, and directed the original Spotify podcast and penned the series pilot script.Mark also serves as co-showrunner and executive producer with Dara Resnik, alongside executive producers Daphne Rubin-Vega; Jason Blum, Chris McCumber, Jeremy Gold, and Chris Dickie for Blumhouse Television; Dawn Ostroff, Mimi O'Donnell, and Justin McGoldrick for Spotify; Gloria Calderón Kellett for GloNation Studios; and Roxann Dawson, who directed the pilot. The bloody VFX were created by Amazon Studios and GhostVFX, with Kevin Chandoo acting as visual effects supervisor for one episode, and Natasha North acting as the onset visual effects supervisor. Watch the official “meaty” trailer for The Horror of Dolores Roach now:The Horror of Dolores Roach premieres July 7 exclusively on Prime Video.Cybersecurity specialist by day, investigative journalist by night. ","the official trailer for The Horror of Dolores Roach now:The Horror of Dolores Roach. The eight-episode Amazon Original series is a contemporary Sweeney Todd-inspired urban legend of love, betrayal, weed."
awards,‘Meneath: The Mirrors of Ethics’ Wins ‘New Voices Award’ at Tribeca,"Based on Terril Calder’s award-winning 2021 animated short, the installation received an honor presented to XR creators who bring new perspectives and artistic languages to immersive storytelling; the interactive stop-motion exhibit reflects Indigenous teachings from the earth fused into the story, creating a unique viewing experience",https://www.awn.com/news/meneath-mirrors-ethics-wins-new-voices-award-tribeca,Debbie Diamond Sarto,2023-06-20,north america,"The National Film Board of Canada’s (NFB) installation of Métis filmmaker and media artist Terril Calder’s Meneath: The Mirrors of Ethics received the Tribeca Festival’s ‘New Voices Award.’ The award goes to first- or second-time XR creators who bring new perspectives and artistic languages to immersive storytelling,Meneath: The Mirrors of Ethics charts the challenging journey of a precocious Métis Baby Girl as she contemplates her path to Hell. Using interfering screens in an object reminiscent of a puppet theatre, this stop-motion installation unearths Nokomis, the Wise Grandmother whispering the Sacred Teachings to Baby Girl, in parallel to Jesus shepherding her through seven Deadly Sins.The installation is based on Calder’s 2021 NFB stop-motion animated short Meneath: The Hidden Island of Ethics, winner of nine awards and named one of the top 10 short films of the year by the Toronto International Film Festival.About the experience:In the middle of Turtle Island, a Métis Baby Girl is born. Her childhood wonder is disrupted when Jesus appears and tells her about the so-called sins of humanity. Convinced she is soiled and destined for Hell, the abuse and racism she endures leave her riddled with self-loathing and fear. To quell her trauma, Nokomis brings light to the Anishinaabe Teachings buried deep within Baby Girl. For every alleged Sin Baby Girl receives, she also gets a Teaching that fills her with strength and pride and affirms a path toward healing.Through a system of interfering screens, Calder directs the viewer’s gaze below the surface to witness a “dissection of the colonial narrative, physically shifting the dominant Christian perspective.” The installation offers an augmented reality-type “looking glass into the Indigenous ethical voice that often remains hidden.” Indigenous Teachings are reflected from the earth and fused into the story to create a unique viewing experience that varies based on the viewer’s position in proximity to the interfering screens.Meneath: The Mirrors of Ethics” features the voice of Gail Maurice (Cardinal, Tricksters) and was edited by the late Indigenous filmmaker Jeff Barnaby (Rhymes for Young Ghouls, Blood Quantum). Jelena Popović produces with Eloi Champagne as technical director and Jason Ryle as consulting producer. The executive producers are Robert McLaughlin and Michael Fukushima for the NFB English Program Animation & Interactive Studio.Calder is a Canadian Métis artist and multidisciplinary creator. While she focuses on stop-motion projects, which she writes, directs, crafts, and animates, she also has an extensive background in performance, visual, and media art.Source: National Film Board of CanadaDebbie Diamond Sarto is news editor at Animation World Network.","and,,, of Gail Maurice (Cardinal, Tricksters) and Gail Maurice (Cardinal, Tricksters) in the installation. The installation is based on Calder’s 2021 NFB stop-motion animated short Meneath: The Hidden Island of Ethics. The installation unearths Nokomis, the Wise Grandmother whispering the Sacred Teachings to Baby Girl, in parallel to Jesus shepherding her through seven Deadly Sins"
it’s unreal,Epic Games Releases ‘Electric Dreams’ Unreal Engine Sample Project,"The UE demo, unveiled at this year’s ‘State of Unreal’ at GDC, showcases experimental Procedural Content Generation – tech allows users to build scalable, virtual worlds fast with an iterative design pipeline.",https://www.awn.com/news/epic-games-releases-electric-dreams-unreal-engine-sample-project,Debbie Diamond Sarto,2023-06-20,all,"At this year's State of Unreal at GDC, Epic Games shared a first look at its new Unreal Engine features in a demo entitled “Electric Dreams.” Today, Epic has released the complete environment from the demo as a free sample project.The demo showcased an experimental new Procedural Content Generation framework (PCG), a new material authoring system called Substrate, and the latest physics developments in Unreal Engine. The Electric Dreams environment sample project enables users to explore the demo's lush jungle environment, constructed using just a handful of Quixel assets. The assets allow quick, seamless population of these worlds, adjustable in real-time based on gameplay or other requirements. PCG represents a fast, scalable, iterative design pipeline for users building virtual worlds. The sample also enables users to explore Substrate and how PCG integrates with other UE5 features, including Lumen, Nanite, and Soundscape.Get additional information here, and download the sample project here.Watch: Electric Dreams Environment Sample Project Unreal Engine:Source: Epic GamesDebbie Diamond Sarto is news editor at Animation World Network.","Epic Games released the complete environment from the demo as a free sample project. The demo showcased an experimental new Procedural Content Generation framework (PCG) and a new material authoring system called Substrate. the assets allow quick, seamless population of these worlds, adjustable in real-time based on gameplay or other requirements."
business,"Genius Brands Moves to NYSE, Renames as Kartoon Studios",An animated ‘Stan Lee’ will ring the opening bell at the New York Stock Exchange June 26 – exemplifying continued expansion of the IP under the new corporate name; the event will stream live on Kartoon Channel!,https://www.awn.com/news/genius-brands-moves-nyse-renames-kartoon-studios,Debbie Diamond Sarto,2023-06-20,all,"Genius Brands International, Inc. announced a name change to Kartoon Studios and plans to transfer its listing from the Nasdaq Capital Market (Nasdaq) to the NYSE American exchange (NYSE American). Under its new name, the company expects to start trading on the NYSE American exchange when markets open on Monday, June 26, 2023. That day the company’s common stock will begin trading under a new trading symbol, “TOON,” and a new CUSIP number, 37229T 509. It will continue to trade on Nasdaq under its current trading symbol, “GNUS” until the close of market on Friday, June 23, 2023.An animated Stan Lee will ring the opening bell of the NYSE on June 26, an indication of the company’s plans to expand on its Stan Lee IP under its new moniker. The event will stream live on Kartoon Channel!The company controls the post-Marvel IP of Stan Lee, which was initially brought to market with a 20-year license to Marvel and the Walt Disney Company, and brand initiative commemorating Stan’s 100th anniversary at San Diego Comic-Con in July 2023.“The name change from Genius Brands to Kartoon Studios was conceived to reflect the core DNA of the company, making high quality and socially responsible animated cartoons for children, distributing them worldwide, and licensing consumer products based on the character images,” commented Genius Brands Chairman & CEO Andy Heyward. “In conjunction with the renaming of the company, we are transitioning our stock listing to the NYSE American exchange, which we believe is more aligned with our strategy to become a leading provider of children’s entertainment. NYSE is home to major multimedia powerhouses like Disney, SONY, Roblox, AMC, and others. We are heading into our next phase of growth, so the timing is ideal for us as a company and our shareholders to make the move. I encourage investors to join ‘Stan Lee,’ along with management and the board, as he rings the NYSE opening bell on June 26, 2023, to celebrate this momentous occasion.”Heyward explained that the “defining focus of our new ‘Kartoon’ and animation rebranding reflects the recent vertical integration of the business following several acquisitions over the past year, including WOW! Unlimited Media in Canada and its subsidiaries Frederator Studios, Frederator Network and Mainframe Entertainment; Ameba TV; Beacon Media; as well as taking a major stake in Germany’s Your Family Entertainment, the largest children’s animation catalog in Europe.”“We now have capabilities to do everything in-house, from content creation to production, distribution, and global merchandising,” he added. “Along with its name changes, the company is also expanding its content across wider demographics, ranging from toddlers to young adults, including its recently launched series, Shaq’s Garage, which premiered on Pluto TV. It stars and is co-produced by NBA legend Shaquille O’Neal.”Through the company’s Frederator Studios subsidiary, it aims to develop content for a broader audience. Heyward noted, “We have an exclusive deal with BuzzFeed Animation Lab to develop select properties into full series based on hit YouTube shorts, including Chikn’ Nuggit. Frederator also signed a deal with Jimmy Kimmel’s Wheelhouse DNA and YouTuber Adam Waheed ‘Adam W’ for an animated series. Concurrently, the company’s series, Bee and PuppyCat, co-produced with TOHO of Japan, has been a breakout hit that led to a Netflix series and merchandise program with Hot Topic.”“While other companies in the entertainment industry are struggling and declining in the current economic market and industry challenges, Kartoon Studios continues to rapidly grow, best illustrated by a nearly eight-fold increase in revenue for 2022,” noted Heyward. “Multiple new productions are in various stages of development,” said Heyward. “The company is in development on Blue Origin Space Rangers, in partnership with Jeff Bezos’ Blue Origin and Michael Strahan’s SMAC productions. And finally, we are in development on Wolfgang Puck’s Chef Academy, in collaboration with the world’s pioneering celebrity chef, Wolfgang Puck.”“The Kartoon Channel! distribution platform, under the leadership of Walt Disney veterans Todd Steinman domestically and Paul Robinson internationally, continues to grow worldwide,” he continued. “In the U.S., the platform has 100% television household market penetration across a broad range of distribution platforms, including Comcast, Cox, DISH, Sling TV, Amazon Prime, Amazon Fire, Apple TV, Apple iOS, Android TV, Android Mobil, Google Play, Xumo, Roku, Tubi, YouTube, KartoonChannel.com, Samsung Smart TVs and LG TVs, as well as on multiple airline entertainment systems.”Heyward concluded, “Internationally, Kartoon Channel! is currently available in key territories around the world, including the recently announced Africa and Sub-Sahara Africa (StarTimes), Australia and New Zealand (Samsung TV Plus), Germany (Waipu), Philippines (Tapp Digital). Kartoon Channel! branded blocks are also currently available daily in 69 countries across the Middle East, Africa, and Latin America, and Europe.”Source: Genius BrandsDebbie Diamond Sarto is news editor at Animation World Network.",", a name change to Kartoon Studios and plans to transfer its stock listing to the NYSE American exchange (NYSE American) under its new trading symbol, “TOON” and a new CUSIP number, 37229T 509. the company controls the post-Marvel IP of Stan Lee, which was brought to market with a 20-year license to Marvel and the Walt Disney Company."
innovations in ibero-american animation,"IBERMEDIA NEXT Announces Grants, Committee Members","The initiative, backed by IBERMEDIA Programme, announces a new line of grants as well as a new five-member Assessment Committee and Consultancy.",https://www.awn.com/news/ibermedia-next-announces-grants-committee-members,AWN Staff Editor,2023-06-20,all,"IBERMEDIA NEXT, the initiative backed by IBERMEDIA Programme and financed with funds from NextGenerationEU, announced a new line of grants to support the creation of digital animation projects or real image projects that include a high percentage of animation.After launching a website and call for proposals website on May 12, coinciding with the sixth annual award ceremony of the Quirino Prizes of the Iberian American Animation League in San Cristóbal de la Laguna (Tenerife), IBERMEDIA NEXT attended Annecy 2023 last week. To promote connections among professionals, the initiative organized different networking activities, such as the business breakfasts in the festival’s technology area, and information sessions, such as a lecture on Next Lab Generation. As part of the conference, a meeting explaining the grants was held in the Salle Verdi, which was followed by a networking cocktail. While bringing together the professional community of Ibero-America and Italy, IBERMEDIA NEXT revealed the Assessment Committee and Consultancy.After evaluating the proposal made by the Quirino Prizes and the Ibero-American Animation League, the Intergovernmental Committee of the IBERMEDIA Programme selected five professionals to make up the Assessment Committee and Consultancy.These specialists are Luís Belerique (Portugal), Lead Artist at Tequila Works; Rosario Carlino, from Argentina, CEO of OSA Estudio, animation teacher at ENERC and in the Blaise Pascal University; Alejandra Luzardo, from Venezuela, manager for Innovation – Creative Economy & Public Policy IADB; Raúl García, from Spain, who began his career in animation working on well-known American series and films, including 9 years at Walt Disney working on titles such as Aladdin, and, as director and producer, member of the Academy of Hollywood, and the cinematic arts and sciences Academy of Spain, the Writers Guild of America and ASIFA-Hollywood; and Aïda del Solar, from Peru, teacher in Gobelins L'École de L'image (Paris) and art and creative director at CNAM-ENJMIN (Angoulême).One of the main functions of the Committee is to ensure that these grants are awarded using a competitive system, in keeping with the principles of objectivity, transparency, equal opportunity, non-discrimination and public dissemination. To this end, the Committee will evaluate the projects first individually and then as a group before final decisions have been made.Each project selection will be analyzed by the entire Committee. They will craft proposals for possible partners, sponsors, or investors, among other considerations of interest. In addition, each of the projects selected will benefit from follow-up consulting sessions held online with the tutor assigned in 2023 and 2024.Aïda del SolarA Peruvian director and screenwriter based in Paris, del Solar holds a degree in cinema and animation from the National School of Dramatic Arts (ENSAD, Paris) and in screenwriting from La Fémis (Paris). She has more than 20 years of experience training artists in visual narrative, cinema and interactive media. She is currently a teacher at Gobelins L'École de L'image (Paris) and an art and creative director at CNAM-ENJMIN (Angoulême).Alejandra LuzardoManager in Innovation and Creative Economy in the IADB. Luzardo’s work spans various fields of the entertainment and disruptive technologies sectors. She has been a pioneer in implementing regional dialogue on public policies with an intersectoral approach towards creative industries. Her recent publications are bestsellers in the orange economy, such as “Video games are not a game” or “Behind the cameras: creativity and investment for Latin America and the Caribbean”.Luís BeleriqueAfter concluding his Astronomy studies in Oporto, Belerique changed course and focused on visual arts, mainly on 3D modelling. He has worked in different fields, such as dissemination of scientific knowledge, artistic education, illustration and comics. Since 2011, he has worked as a video game artist at Tequila Works, where he took part in projects such as Deadlight (Environmental artist), RiME (Lead artist) and GYLT (Concept and 3D Artist).Raúl GarcíaHe began his career in TV series such as The Flintstones and The Smurfs. He has contributed animation to successful films such as Asterix and Caesar’s Surprise, Around the World with Alvin and the Chipmunks and In Search of the Enchanted Valley. His work in Who framed Roger Rabbit? helped him land a job at Disney, where he worked for 9 years on the animation of characters such as Aladdin. He is a member of the Film Academies of Hollywood and of Spain and of the Writers Guild of America and ASIFA Hollywood.Rosario CarlinoCarlino studied cinema and TV at the National University of Cordoba. For more than 15 years, she has worked in animation. In 2013, she founded Osa Estudio, where she produces and directs series and short films. Her productions have been selected and received prizes at international festivals (Annecy, Prix Jeunesse Internacional, Quirino Prizes). She teaches animation at the National Cinema School ENERC (Buenos Aires) and in the Blaise Pascal University (Cordoba).This first line of grants from IBERMEDIA NEXT will be presented to prototypes, teasers, pilots, short films or video clips with the minimum length of five minutes that make use of new technological tools for animation or open-source in their development. The final result of these pieces will be traditional audiovisual content in Virtual Reality (VR), Extended Reality (XR) or Augmented Reality (AR). Projects in digital animation or in real image are eligible as long as they include at least 75% of animation in their footage.Submissions are due by August 21, 2023. For more information on applying click here or visit IBERMEDIA NEXT.Source: IBERMEDIA NEXTAWN Staff Editor(link sends e-mail)","and the Ibero-American Animation League, IBERMEDIA NEXT announced a new line of grants to support the creation of digital animation projects or real image projects. the initiative, backed by IBERMEDIA Programme and financed with funds from NextGenerationEU, announced a new line of grants to support the creation of digital animation projects."
she’ll be back,Linda Hamilton Joins ‘Stranger Things’ Season 5 Cast,"The ‘Terminator’ star is the newest addition to the conclusive season of the mega-hit Netflix thriller series, currently in limbo due to the WGA strike.",https://www.awn.com/news/linda-hamilton-joins-stranger-things-season-5-cast,Laurén Alexa,2023-06-20,all,"Linda Hamilton in ‘Terminator: Dark Fate’ (2019). Image © 2018 Skydance Productions and Paramount Pictures.The announcements keep coming! As part of the streamer’s annual Tudum event in Brazil, Netflix has announced that Linda Hamilton (Terminator franchise) will join the cast of Stranger Things Season 5 in an undisclosed role.The fifth and final season of Stranger Things has not yet started production due to the ongoing WGA strike. “Writing does not stop when filming begins. While we’re excited to start production with our amazing cast and crew, it is not possible during this strike. We hope a fair deal is reached soon so we can all get back to work. Until then — over and out. #wgastrong” the Duffer duo explained in a social media post in May.While fans have a long wait ahead for the series conclusion, there is still ample Stranger Things content ahead. An animated series, live-action spinoff series, and a stage production are all upcoming. Now that the Duffers have founded Upside Down Pictures, it is safe to say the franchise is here to stay.A release date has not yet been announced for Stranger Things Season 5.Cybersecurity specialist by day, investigative journalist by night. ",", will join the cast of Stranger Things Season 5 in an undisclosed role. The fifth and final season of Stranger Things has not yet started production due to the ongoing WGA strike. the duffers have founded Upside Down Pictures, it is safe to say the franchise is here to stay."
the show must go on,Teaser Trailer Finally Drops for ‘3 Body Problem’,"The upcoming Netflix series, based on Liu Cixin's series of sci-fi novels, seems to have moved past its early scandal when former producer Lin Qi was fatally poisoned by Yoozoo Group senior executive Xu Yao.",https://www.awn.com/news/teaser-trailer-finally-drops-3-body-problem,Laurén Alexa,2023-06-20,all,"The bodies have finally hit Netflix’s floor. The first teaser trailer has dropped for 3 Body Problem, the live-action series adaptation of Liu Cixin's sci-fi novel The Three-Body Problem from showrunners David Benioff, Dan Weiss, and Alexander Woo (True Blood).“The Three-Body Problem” is the first book in the “Remembrance of Earth’s Past” trilogy, which explores humanity’s preparation for the arrival of a mysterious alien force. The project faced major controversy in late 2021, when former producer Lin Qi was fatally poisoned by Yoozoo Group senior executive Xu Yao. Apparently, the show had to go on.The series stars Jovan Adepo (Watchmen), Rosalind Chao (Better Things), Eiza González (Baby Driver), Jess Hong (Inked), Marlo Kelly (Dare Me), Jonathan Pryce (The Crown), Eve Ridley (Peppa Pig), Ben Schnetzer (Y: The Last Man), Alex Sharp (The Curious Incident of the Dog in the Night-Time), Sea Shimooka (Pink Skies Ahead), Zine Tseng, Saamer Usmani (Succession) and Benedict Wong (Dr. Strange in the Multiverse of Madness).Game of Thrones creators Benioff and Weiss produce, while Rian Johnson, Rosamund Pike, Bernadette Caulfield, Ra, Bergman, Nena Rodrigue, Robie Uniacke for Primitive Streak, and Brad Pitt’s Plan B will executive produce.  Oscar nominated Derek Tsang (Better Days) is set to direct.The extraterrestrial VFX are created by Clear angle Studios, Eyeline Studos, Image Engine, NVIZ, Scanline VFX, and SSVFX, with Ed Bruce acting as visual effects supervisor.Now, watch the teaser for 3 Body Problem, revealed at Netflix’s Tudum live fan event in Brazil:Cybersecurity specialist by day, investigative journalist by night. ",",,,, by day, investigative journalist by night.“The Three-Body Problem” is the first book in the “Remembrance of Earth’s Past” trilogy.“The Three-Body Problem” is the first book in the “Remembrance of Earth’s Past” trilogy."
