subline,link,headline,date,article,summary
"PAD London, the internationally acclaimed fair for design, returns to Berkeley Square in Mayfair for its 14th edition, running from October 10 to 16, 2022.",https://www.dexigner.com/news/33942,PAD London 2022,2022-09-27,"PAD London, the internationally acclaimed fair for design, returns to Berkeley Square in Mayfair for its 14th edition, running from October 10 to 16, 2022.Celebrating craftsmanship and innovation, this year's London edition will premiere outstanding works by emerging and iconic talents, while also shedding light on rare, age-old techniques, new sustainable crafts and innovative materials that inform design today.""It is a joy to be back in London,"" commented Patrick Perrin, Founder and CEO of PAD fairs. ""This new edition of PAD captures all the elements that constitute the fair's DNA: a curated gathering of the world's most visionary gallerists and creators, driven by a common goal to champion exceptional work, new talent, innovation and craftsmanship; a desire to inspire the most spectacular interiors by sparking a conversation between past and present and most of all, a commitment to break down barriers between the disciplines of art, design and jewelry in order to foster creativity.""more: padesignart.com (297)","PAD London, the internationally acclaimed fair for design, returns to Berkeley Square in mayfair for its 14th edition, running from October 10 to 16, 2022. the fair will premiere outstanding works by emerging and iconic talents, while also shedding light on rare, age-old techniques, new sustainable crafts and innovative materials that inform design today."
"Readymag, in collaboration with Type Directors Club, has released a web project The Faces Behind Typefaces, featuring a selection of insightful conversations about typographers who have made extraordinary contributions to the creative field - Paula Scher, Paul Rand, Gerard Unger, Ed Benguiat, Rubén Fontana, Emigre, and Adrian Frutiger.",https://www.dexigner.com/news/33941,The Faces Behind Typefaces: Deep Dive into Legacies of Pioneers of Type Design,2022-09-27,"Readymag, in collaboration with Type Directors Club, has released a web project The Faces Behind Typefaces, featuring a selection of insightful conversations about typographers who have made extraordinary contributions to the creative field - Paula Scher, Paul Rand, Gerard Unger, Ed Benguiat, Rubén Fontana, Emigre, and Adrian Frutiger.Designed in the form of an editorial, 'The Faces Behind Typefaces' coincides with the 75th anniversary of The Type Directors Club. On the 12th of September, the TDC announced Akira Kobayashi, creative type director at Monotype, as this year's recipient of its highest honor, the prestigious TDC Medal, which recognizes individuals who have made outstanding contributions to the field of typography.To honor this special occasion, Readymag created a web space for meaningful dialogue between generations of typographers, connecting prominent figures in type design. The Faces Behind Typefaces is a deep dive into the impact and legacy of the TDC Medal and the past medalists. It consists of seven chapters, in which Sven Lindhorst-Emme talks about Paula Scher's role in type design, Qian Sun reflects on Paul Rand's legacy, Douglas Davis discusses Ed Benguiat's impact on creative fields, Akira Kobayashi reminisces on Adrian Frutiger, and more. The webpage was designed by Tatiana Egoshina from Readymag.","has released a web project The Faces Behind Typefaces. 'The Faces Behind Typefaces' coincides with the 75th anniversary of The Type Directors Club. 'The Faces Behind Typefaces' is a deep dive into the impact and legacy of the TDC Medal and the past medalists. it consists of seven chapters, in which Sven Lindhorst-Emme talks about Paula Scher's role in type design."
"Foster + Partners has designed a state-of-the-art marine life institute for the Red Sea Development Company (TRSDC), the developer behind the world's most ambitious regenerative tourism projects.",https://www.dexigner.com/news/33940,Foster + Partners Designs Coral-inspired Museum by the Red Sea,2022-09-27,"Foster + Partners has designed a state-of-the-art marine life institute for the Red Sea Development Company (TRSDC), the developer behind the world's most ambitious regenerative tourism projects. The institute will function as both a scientific research center and a tourist destination. It will accelerate conservation-driven research, while offering visitors truly multidimensional experiences that bridge educational exhibitions with adventure-filled excursions.""We wanted to design a first-of-its-kind facility that extends far beyond any existing marine life attraction,"" commented John Pagano, Group CEO of TRSDC. ""With 10 zones that provide everything from augmented reality experiences to night diving, and spaces for the scientific community to effectively progress their environmental projects, the facility is undeniably unique. Not only will it drive global green and blue innovations, it will also help put Saudi Arabia on the map for travelers seeking trips that enrich their lives.""The institute will live in the Triple Bay marina at AMAALA, but is the beating heart of our broader ambitions to protect and enhance the thriving Red Sea coast of Saudi Arabia. Through our expanding portfolio of projects, we will share our valuable scientific discoveries with the world and enable our guests to experience the true beauty of our thriving coral reefs.""Expected to host up to 650 people at any one time, guests will be able to walk underwater, snorkel with rare species, participate in lab tours and dive the depths of the Red Sea in a submarine. A testament to TRSDC's coral farming operations, the facility will also be home to one of the world's largest man-made reefs, measuring an astonishing 40 meters long and 10 meters deep and providing an epic ""Grand Reveal"" moment for visitors on arrival.Set within the AMAALA destination on the west coast of Saudi Arabia and located on the waterfront of Triple Bay, the 10,340 square meter institute will comprise three levels - one above ground and two below - and offer stunning panoramic views of the Red Sea and the marina.Inspired by the Red Sea's thriving coral formations, the glass-reinforced concrete that is being used to build the institute will be intricately molded to resemble reef patterns against the skyline. Inside, exhibition displays have also been integrated into the infrastructure, with visitors flanked by suspended semi-spherical tanks containing colorful local marine wildlife from the point of entry.""The marine life institute will take guests on a vibrant, educational, and awe-inspiring journey that unveils the natural wonders of the Red Sea and blurs the boundaries between the institute and the ocean,"" said Gerard Evenden, Head of Studio at Foster + Partners. ""By recreating natural marine habitats, offering unforgettable marine interactions, and sharing glimpses into conservation projects, it will provide guests with an immersive marine experience unlike any other.""Images: Courtesy of Foster + Partners",", the state-of-the-art marine life institute is designed by the Red Sea Development Company (TRSDC) the developer behind the world's most ambitious regenerative tourism projects. the 10,340 square meter institute will comprise three levels - one above ground and two below - and offer stunning panoramic views of the Red Sea and the marina. the facility will be home to one of the world's largest man-made reefs, measuring an astonishing 40 meters long and 10 meters deep."
"Graypants has unveiled Barro, a pendant fixture designed by Caterina Moretti. Barro is made from clay pulled directly from the earth of Oaxaca, handcrafted, and colored with only the power of heat and smoke.",https://www.dexigner.com/news/33939,Barro by Caterina Moretti for Graypants,2022-09-26,"Graypants has unveiled Barro, a pendant fixture designed by Caterina Moretti. Barro is made from clay pulled directly from the earth of Oaxaca, handcrafted, and colored with only the power of heat and smoke.The Barro pendant lamps represent the conjunction of craft and innovation, using traditional techniques to create a modern, unique shape. Incredibly versatile, Barro integrates easily to elevate its surroundings - over a dining table or kitchen island, dotted over a bar in a restaurant, or welcoming you in a lobby space.Barro is created using an ancient, region-specific process. It begins with gathering earth from the surrounding areas to make the clay. Water is added to slake the clay and create slip, which is then poured into handmade plaster molds. The clay pieces are each hand burnished before firing with the help of a smooth stone, to achieve an iridescent color and smooth feel.Once the pieces are ready to be fired, they are placed in a special two-vent kiln and stoked continuously for nine hours. Here, a process known as reduction of atmosphere takes place: during firing, at a specific moment, the vents are closed to reduce oxygen, generating a chemical reaction that infuses a deep black color in the natural color of the clay, creating the Charcoal Clay finish. The clay technique dates back to pre-Hispanic times in Mexico and tells the story of the empirical knowledge of those who came before, and their journey exploring and communicating with nature. The Natural Clay finish is created using the same technique, only it is fired for a shorter time and the oxygen reduction technique is not applied.Caterina chose to work with local artisan Amando Pedro in the production of the pendants because of his high level of expertise, and his sensitivity to using traditional techniques to achieve modern, unexpected shapes. In creating the pendant, Caterina took into account the history it can show, paying tribute to the Oaxaca black clay tradition in San Bartolo Coyotepec, while also imprinting it with a distinct style, expertise and contemporary vision.Photography: Adam Joseph Wells","Bartolo Coyotepec has unveiled a pendant fixture designed by Caterina Moretti. Barro is made from clay pulled directly from the earth of Oaxaca, handcrafted, and colored with only the power of heat and smoke. the pendant lamps represent the conjunction of craft and innovation, using traditional techniques to create a modern, unique shape."
"Thornberg & Forester created a 45-minute animated film for Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail, a visual adaptation of billionaire hedge fund manager Ray Dalio's New York Times Best Seller of the same title.",https://www.dexigner.com/news/33938,Thornberg & Forester Adapts Ray Dalio's Latest Book Into Animated Film,2022-09-25,"Thornberg & Forester created a 45-minute animated film for Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail, a visual adaptation of billionaire hedge fund manager Ray Dalio's New York Times Best Seller of the same title.The film is a visually enthralling history lesson on the rise and decline of nations spanning 500 years, with Dalio's futurist take on where the United States is headed on the world stage as war wages in Europe, inflation is at a 40-year high, and the gap between the 'haves' and 'have-nots' in the U.S. is widening.The recent explosion of podcasts and documentary storytelling has already shown that audiences are seeking educational value in the content they consume, and this film represents a new twist on nonfiction storytelling in the digital age - one that blurs the lines between brand and promo content, original content, and 'influencer' content.""We sought to find an authentic visual language that supported the seriousness of the subject matter but didn't oppress the viewer and obscure from the lessons and the message,"" explained Scott Matz, Thornberg & Forester President and Chief Creative Officer. ""We also found moments to inject subtextual hints of levity to help keep viewers immersed and entertained while being educated.""Image: Courtesy of Thornberg & Forester",created a 45-minute animated film for Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail.The film is a visually enthralling history lesson on the rise and decline of nations spanning 500 years. the film is a visual adaptation of billionaire hedge fund manager Ray Dalio's New York Times Best Seller of the same title.
Blond recently collaborated with zero waste grocery service Dizzie to launch its reusable fossil-fuel-free packaging.,https://www.dexigner.com/news/33937,Blond Designs Reusable Fossil-fuel Free Packaging for Dizzie,2022-09-25,"Blond recently collaborated with zero waste grocery service Dizzie to launch its reusable fossil-fuel-free packaging. The redesign will reduce the carbon footprint of Dizzie's brand and help cut 114 billion pieces of plastic from supermarket shelves.Blond created reusable and refillable packaging that is both long-lasting and 100% recyclable at the end of its life cycle. Consumers can buy their essentials without any packaging waste by using the reusable pots. They then can be decanted, stored and later collected and washed by Dizzie.Looking at the principles of the circular economy, Blond carried out holistic research into the packaging landscape and worked with Dizzie to design a packaging system that would ultimately save warehouse space and reduce the carbon footprint of deliveries.Blond designed the packaging using a biocomposite made from wood fibres (a by-product of the forest industry) and bio-PP (made from waste and residue oils). This means that Dizzie pots are made from 98% renewable materials. They are designed to stand up to 200 cycles of reuse, and all parts are 100% recyclable. When they finally reach the end of life, they are sent back to the manufacturer to be broken down into the raw material to remake the pots, facilitating a closed-loop system.Taking inspiration from the stacking format of a bento box, Blond designed Dizzie's new packaging to stack together vertically. The three sizes of pots are sized in thirds, so that the height of three small pots equals one large pot, allowing the pots to stack together in many combinations and still reach the same overall height. A groove detail in the lids matches the base profile of the pots, ensuring they can be securely nested together. This helps organize the containers in customers' cupboards as well as allowing secure and efficient transport - a custom transport bag is designed to house a specific number of pots by holding them in place from the top and bottom, and is used for customer delivery and return.In terms of logistics, Blond designed the pots to enable simple and efficient cleaning when returned to the warehouse, while also being cost-effective to manufacture. The pots can efficiently nest together when empty, which saves space in the warehouse and reduces the carbon footprint of transporting them. The efficiencies in the design and choice of material combined with EU production ensure the Dizzie pots have the smallest possible carbon footprint and shift the economies on reusable packaging.Photos: Courtesy of Blond",to create reusable and refillable packaging that is long-lasting and 100% recyclable at the end of its life cycle. reusable and refillable packaging is both long-lasting and 100% recyclable at the end of its life cycle. reusable and refillable packaging is both long-lasting and 100% recyclable at the end of its life cycle.
Vudafieri-Saverino Partners has designed the Chez Pierre restaurant in Monte Carlo for Pierre Baldelli.,https://www.dexigner.com/news/33936,Chez Pierre Restaurant in Monte Carlo by Vudafieri-Saverino Partners,2022-09-25,"Vudafieri-Saverino Partners has designed the Chez Pierre restaurant in Monte Carlo for Pierre Baldelli. Located within the Metropole shopping center, Chez Pierre is an enveloping space with vibrant tones inviting moments of emotion.From concept to realization, Vudafieri-Saverino Partners conceived a project that interprets the history and passion of Pierre Baldelli, taking guests on a journey between Monte Carlo, Paris, and London - the cities where he was trained.Chez Pierre is a secluded and unique venue. The space has 50 seats and 6 bar stools and it is characterized by an atmosphere of retro charm: the black and white marble lozenge floor, a typical stylistic feature of the 1960s, imprints an incisive graphic sign, creating a thread between furnishings, textures and precious combinations.The shade of intense ruby red, also chosen for the Pedrali bar stools with a vintage feel, has a prominent role reflecting the personality of this new gourmet destination that does not want to go unnoticed. The contrast with the neutral tone of Alter Ego Dedar's fabric, textured and iridescent, covering the wall panels, makes the interior style even more sophisticated. Experimentation and innovation, sinuous lines and shapes, bright colors and geometric patterns describe ideas and emotions: the story of a memorable gastronomic experience.The counter is the focus of the restaurant: backlit red striped glass and vertical brass inserts, emphasized on the curves, set the rhythm, while a mirrored wall occupies the back and amplifies the space. Antique mirrors on which follow one another images of the cities of Paris, London and Monte Carlo accompany the overlying fabric that softens the reflection of the mirror. Materials such as wood, brass, glass and soft surfaces such as velvet and leather, lend a sophisticated touch to the room's scenography combining shapes and surfaces with deco details.At lighting level, for a play between reflections and opacity, the white and sculptural pendant lamps Hatton 1 collection by Original BTC have been chosen: made of Bone China ceramic, they feature a facetted rose window and offer a warm and suggestive light.Photography: Santi Caleca",",,,,,, Hatton 1 collection by Original BTC have been chosen: made of Bone China ceramic, they feature a facetted rose window and offer a warm and suggestive light.Photography: the restaurant in Monte Carlo for Pierre Baldelli. Located within the Metropole shopping center, Chez Pierre is an enveloping space with vibrant tones inviting moments of emotion.From concept to realization, Vudafieri-Saverino Partners"
"Whipsaw was recognized with multiple wins at the 2022 International Design Excellence Awards. Whipsaw won silver awards for its design of Fluidigm's Biomark X in the Medical & Health category and the MXXY Hydration Backpack in the Sports, Leisure & Recreation category.",https://www.dexigner.com/news/33935,Whipsaw Recognized with Multiple Wins at 2022 IDEA,2022-09-25,"Whipsaw was recognized with multiple wins at the 2022 International Design Excellence Awards. Whipsaw won silver awards for its design of Fluidigm's Biomark X in the Medical & Health category and the MXXY Hydration Backpack in the Sports, Leisure & Recreation category. The company also received a bronze award for its Skrolla lounge chair in the Furniture & Lighting category. In addition to the notable wins, two Whipsaw designs-the Omnicell Narcotic Syringe Dispenser and HydraFacial Syndeo-were finalists in the Medical & Health category.""It is an honor to be recognized by IDEA and the IDSA,"" commented Whipsaw CEO and founder Dan Harden. ""Our focus at Whipsaw is to create exceptional products that help improve the human experience. Design is about truth discovery, and I have this lofty vision about the true meaning of design and never lost my passion for using it as a vehicle to influence the world and make it a better place.""Biomark X is an all-in-one bioscience benchtop instrument embedded with microfluidics using Polymerase-Chain-Reaction (PCR), a lab technique used to amplify DNA sequences, like detecting COVID-19. The interactive user-experience enhances laboratory efficiency. BiomarkX is used to ultimately treat disease.MXXY Hydration Backpack is a hydration pack for sports use that lets you mix the exact ratio of water and hydration supplements exactly when you need it, dialing in perfectly balanced hydration and improving performance.Skrolla is a lounge chair for residential or contract use. It is composed of 6 wood parts and weighs only 19 lbs. Handmade in California by skilled woodworkers, every detail is exquisite, including the woods, joints, edges, and finish.Photos: Courtesy of Whipsaw","Whipsaw was recognized with multiple wins at the 2022 International Design Excellence Awards. Whipsaw won silver awards for its design of Fluidigm's Biomark X in the Medical & Health category and the MXXY Hydration Backpack in the Sports, Leisure & Recreation category. Whipsaw also received a bronze award for its Skrolla lounge chair in the Furniture & Lighting category."
'R for Repair: London x Singapore' - the second edition of the 'R for Repair' exhibition - is open until November 2nd at the Victoria & Albert Museum in London. The exhibition showcases the transformative power of repair as part of the London Design Festival.,https://www.dexigner.com/news/33934,R for Repair: London x Singapore,2022-09-25,"'R for Repair: London x Singapore' - the second edition of the 'R for Repair' exhibition - is open until November 2nd at the Victoria & Albert Museum in London. The exhibition showcases the transformative power of repair as part of the London Design Festival.The original exhibition debuted at the National Design Centre in Singapore in January 2021. Initiated by Hans Tan Studio and commissioned by DesignSingapore Council, the project sits within a growing landscape of initiatives designed to encourage a repair culture.The first edition featured a call out for people to submit broken objects as well as share the stories that gave these items significance. The objects were then passed on to designers for creative repair, with the brief of giving them a new persona or form while respecting the owner's attachment. This process returns for the 2022 edition, presented at the V&A London.This exhibition includes ten items repaired by ten different designers for 2022, alongside three repaired objects from the original exhibition in 2021. Everything on display will be returned to the owners thereafter. Circularity underpins the exhibition design which is composed of crates that will be put back in circulation through the manufacturer's buy-back scheme.""Though repair used to be the first response when something breaks down, current day hyper-consumption has diminished the transformative role of repair,"" commented Co-Curator, Hans Tan. ""It is important to reframe repair in the contemporary context through design, which I believe when done well, comes with a good value system for how we could consider ownership.""Photo: Zuketa Film Productionmore: designsingapore.org (118)",'R for Repair: London x Singapore' - the second edition of the 'R for Repair' exhibition - is open until November 2nd at the Victoria & Albert Museum in London. the exhibition showcases the transformative power of repair as part of the London Design Festival. the original exhibition debuted at the National Design Centre in Singapore in January 2021.
"Entries for the 27th Annual Webby Awards are now open. For nearly thirty years, The Webby Awards has celebrated a global community of the best creators, innovators and iconoclasts on the Internet.",https://www.dexigner.com/news/33933,Webby Awards 2022,2022-09-25,"Entries for the 27th Annual Webby Awards are now open. For nearly thirty years, The Webby Awards has celebrated a global community of the best creators, innovators and iconoclasts on the Internet.The Webby Awards honors the best of the Internet across Websites & Mobile Sites; Video; Advertising, Media & PR; Social; Podcasts; Games, Apps, dApps & Software and new this year Metaverse, Immersive & Virtual.The final deadline for entries is December 16, 2022.more: webbyawards.com (315)","the 27th Annual Webby Awards are now open. Entries for the 27th Annual Webby Awards are now open. The final deadline for entries is December 16, 2022."
"Teknion's Routes collection, designed by Pearson Lloyd, received the Gold award in the Office & Accessories category at the 2022 International Design Excellence Awards (IDEA).",https://www.dexigner.com/news/33932,Teknion Wins Gold at 2022 International Design Excellence Awards,2022-09-24,"Teknion's Routes collection, designed by Pearson Lloyd, received the Gold award in the Office & Accessories category at the 2022 International Design Excellence Awards (IDEA).Routes is unlike any other contract furniture system, as it breaches conventionality to provide an alternative, flexible solution that evolves with the workplace. It is designed to allow teams to create flexible, utility-driven, and engaging workspaces quickly and efficiently. Utilizing this collection, teams can easily define their ideal 'route' to completion for any given task, increasing the office's overall efficiency.""Teknion and Pearson Lloyd are honored that Routes has won Gold at IDEA, the premier awards program when it comes to recognizing exceptional design,"" commented David Feldberg, President and CEO of Teknion. ""Winning an award from IDEA, an organization that has recognized Apple and Tesla among other design leaders, is truly a great accomplishment for us.""From the multipurpose stool and high table to the mobile soft screen and adjustable side table, simplicity, flexibility, and mobility are at the forefront of the design, offering furniture that's as agile as it is intuitive. An easel that is writeable, tackable, and stackable, the Routes Work Board allows you to choose your own pathway, adapting to multiple ways of working that promote user choice. The Adjustable Side Table builds surface space for laptops, books, or coffee cups.Simply adjust the knob and find the perfect height to add dimension and functionality. This table, coupled with any chair, creates a new work point anywhere on a floor plan. In a communal work environment, the Routes Personal Tote ensures there is space for personal items and a lockable drawer to increase their security.""We are delighted to win this award for Routes and be honored amongst other innovative designs,"" stated Luke Pearson, designer at Pearson Lloyd. ""Knowing that users are embracing the lighthearted nature of Routes and are understanding the joyful intention behind the collection is truly rewarding,"" added Tom Lloyd, designer at Pearson Lloyd.Photo: Courtesy of Teknion","Routes, designed by Pearson Lloyd, received the Gold award in the Office & Accessories category at the 2022 International Design Excellence Awards (IDEA) Teknion's Routes collection, designed by Pearson Lloyd, received the Gold award in the Office & Accessories category at the 2022 International Design Excellence Awards (IDEA). Routes is designed to allow teams to create flexible, utility-driven, and engaging workspaces quickly and efficiently."
"MBH Architects recently completed Miller & Lux, a new upscale steakhouse in San Francisco's Mission Bay neighborhood.",https://www.dexigner.com/news/33931,MBH Architects Completes Waterfront Restaurant Miller & Lux,2022-09-24,"MBH Architects recently completed Miller & Lux, a new upscale steakhouse in San Francisco's Mission Bay neighborhood. MBH Architects was tapped to serve as Executive Architect with the task of implementing the overall restaurant design concept from Ken Fulk and celebrity chef and operator Tyler Florence.Spread across two floors, the 7,000-square-foot waterfront restaurant provides guests with the ceremonial experience of visiting a steakhouse. The team framed the restaurant's interior with brass millwork and dark marble finishes featuring a caramel and gold color palette to create a feeling of elegance.Inside, guests will find plush, circular booths, custom-cut dining tables, and lighting that gives off a golden glow to set the tone of the space. The sophisticated, 147-seat upscale dining destination also offers a private dining room for intimate occasions, table-side service with food carts, and an outdoor patio for al fresco dining.Photography: Douglas Friedman","Miller & Lux is a new upscale steakhouse in San Francisco's Mission Bay neighborhood. Miller & Lux offers guests the ceremonial experience of visiting a steakhouse. the restaurant offers a private dining room for intimate occasions, table-side service with food carts, and an outdoor patio for al fresco dining."
The Ceramics of Italy Tile Competition - the longest-running awards program of its kind - is officially accepting submissions for the 2023 edition.,https://www.dexigner.com/news/33930,Ceramics of Italy Tile Competition 2023,2022-09-24,"The Ceramics of Italy Tile Competition - the longest-running awards program of its kind - is officially accepting submissions for the 2023 edition.Celebrating its 30th anniversary, the competition honors North American architects & designers whose projects highlight the technical and aesthetic benefits of Italian tile, with past winners including prestigious firms like Rockwell Group, Gow Hastings, and Perkins&Will.This year, a jury will select winners in four built categories - Commercial, Residential (Single-Family), Residential (Multi-Family), and Institutional; and one Student category.Winners will receive an all-expenses-paid trip to Coverings 2023 in Orlando, FL, and the chance to present their projects in front of architecture and design media at the show. In addition, built-project winners will enjoy a CEU-accredited trip to Cersaie 2023 next September in Bologna, Italy.The deadline to enter is December 19, 2022.more: tilecompetition.com (323)","is accepting submissions for the 2023 edition.This year, a jury will select winners in four built categories - Commercial, Residential (Single-Family), Residential (Multi-Family) and Institutional; and one Student category.Winners will receive an all-expenses-paid trip to Coverings 2023 in Orlando, FL."
"On view at Ace Hotel New York from October 19th to 30th, The Be Original Americas: Originality Deconstructed exhibition celebrates creativity by pulling back the curtain on the 'how' and 'why' of some of the international design industry's most iconic products, demystifying what goes into their conception.",https://www.dexigner.com/news/33929,Be Original Americas Opens Originality Deconstructed Exhibition,2022-09-24,"On view at Ace Hotel New York from October 19th to 30th, The Be Original Americas: Originality Deconstructed exhibition celebrates creativity by pulling back the curtain on the 'how' and 'why' of some of the international design industry's most iconic products, demystifying what goes into their conception.Commemorating Be Original Americas' 10th anniversary, the showcase incorporates physical designs, disassembled elements, and raw materials by members Emeco, Flos, Louis Poulsen, and Suzanne Tick.With woven tapestries, stacked pendants, luminaires, monumental floor lamps, forged ergonomic chairs, and several other iconic designs, the showcase offers an in-depth look into different aspects of production that few ever have a chance to witness. By uncovering the various facets of production, the exhibition allows visitors to better understand issues surrounding sustainability-how materials are sourced and processed-and the challenges of copyrighting design.Brands are increasingly confronted with the new realities of the digital marketplace and continue to see their most important items copied by nefarious parties seeking to capitalize on their success. What goes into ensuring the authenticity of a carefully conceived and meticulously manufactured object, especially those with historical significance?The capsule exhibition is presented as two cabinets of curiosity wall displays incorporating the various components of the iconic products in question. A series of complementary videos from Bernhardt Design, Emeco, Flos, Louis Poulsen, Lumens, and Modern Metal Designs offer even more insight into what goes on behind the scenes and how leading industry players pay close attention to every step of manufacturing.more: beoriginalamericas.com (46)","the 10th anniversary of Be Original Americas' 10th anniversary, the showcase incorporates physical designs, disassembled elements, and raw materials by members Emeco, Flos, Louis Poulsen, and Suzanne Tick. The exhibit is presented as two cabinets of curiosity wall displays incorporating the various components of the iconic products in question."
The 18th edition of the HRD Design Awards is now open for submissions. The HRD Design Awards is a unique prestigious opportunity for talented jewelry and accessory designers from all across the world.,https://www.dexigner.com/news/33928,HRD Design Awards 2022,2022-09-24,"The 18th edition of the HRD Design Awards is now open for submissions. The HRD Design Awards is a unique prestigious opportunity for talented jewelry and accessory designers from all across the world.Renowned today as one of the world's most considerable jewelry design contests, the Awards program was initiated in 1984 as the 'Antwerp Diamond High Council awards,' with the aim of promoting creativity and design excellence in contemporary diamond jewelry in Belgium.In 1988, the competition became biennial and introduced an innovative approach. The contestants would work their design around a defined theme. The theme of this year's competition is 'peace.'The deadline for submissions is October 15, 2022.Photo: Courtesy of HRD Design Awardsmore: hrddesignawards.com (156)",The 18th edition of the HRD Design Awards is now open for submissions. The 18th edition of the HRD Design Awards is now open for submissions.
