topic,headline,link,subline,author,authordesc,date,article,summary
"microsoft, tech, xbox",Sony’s PlayStation chief privately said Microsoft’s Activision deal wasn’t about Xbox exclusives ,https://www.theverge.com/2023/6/22/23769790/sonys-playstation-chief-microsofts-activision-deal-xbox-exclusives-ftc, A bombshell email in the FTC v. Microsoft case.,Tom Warren,"a senior editor covering Microsoft, PC gaming, console, and tech. He founded WinRumors, a site dedicated to Microsoft news, before joining The Verge in 2012.",2023-06-22,"We’re only minutes into the FTC v. Microsoft hearing, and we’ve already had a bombshell revelation. Sony’s PlayStation chief, Jim Ryan, believed that Microsoft’s proposed acquisition of Activision Blizzard wasn’t about locking games as Xbox exclusives, according to a newly unsealed email. Microsoft counsel revealed the exchange between Ryan and a former Sony CEO discussing the announcement of the deal last year.“It is not an exclusivity play at all,” said Ryan. “They’re thinking bigger than that and they have the cash to make moves like this. I’ve spent a fair amount of time with [Phil] Spencer Bobby [Kotick] and I’m pretty sure we will continue to see Call of Duty on PlayStation for years to come.”The surprise revelation runs counter to Sony’s arguments against Microsoft’s Activision Blizzard deal and its filings with regulators. Sony has maintained it fears Microsoft could make Call of Duty exclusive to Xbox or even sabotage the PlayStation versions of the game.Ryan went on to say, “We have some good stuff cooking. I’m not complacent, I’d rather this didn’t happen, but we’ll be OK, we’ll be more than OK.”Microsoft initially offered Call of Duty on PlayStation for three years after the current agreement between Activision and Sony ends. Ryan called that offer “inadequate on many levels.” Microsoft eventually offered Sony a 10-year deal for Call of Duty on PlayStation, but the company has refused to sign this so far.Call of Duty competition fears were initially a big part of the UK’s Competition and Markets Authority (CMA) investigation before the regulator dropped the console concerns and ended up blocking the deal due to cloud market competition concerns. The European Commission also dismissed concerns about Call of Duty or Xbox exclusive games, but the FTC’s case is largely focused on the potential harm of Microsoft turning Activision games into Xbox exclusives across console, cloud gaming, and multi-game subscriptions.",", but we’re only minutes into the FTC v. Microsoft hearing, and we’ve already had a bombshell revelation. Sony’s PlayStation chief, Jim Ryan, believed that Microsoft’s proposed acquisition of Activision Blizzard wasn’t about locking games."
"twitch, creators, tech",Twitch is going to let you pay to pin posts in chat ,https://www.theverge.com/2023/6/22/23769055/twitch-hype-chats-pay-pin-posts," If you’ve seen YouTube’s Super Chats, Hype Chats are pretty similar.",Jay Peters,"a news editor who writes about technology, video games, and virtual worlds. He’s submitted several accepted emoji proposals to the Unicode Consortium.",2023-06-22,"Twitch is introducing a new feature, Hype Chat, that lets users pay to pin messages at the top of a streamer’s chat feed.If you’ve seen YouTube’s Super Chats, which the company first announced in 2017, then Hype Chats should look pretty familiar. Streamers will be able to set how much Hype Chats cost (with a minimum of up to $100 and a maximum of up to $500), and based on how much you pay, you’ll have a better-looking chat. “Higher value Hype Chats will stay at the top of chat longer, have longer allowed character counts, and have more standout designs,” Twitch said in a blog post. Right now, the feature is only available on the web, Twitch spokesperson Adiya Taylor tells The Verge.Depending on how many Hype Chats a streamer gets, they could prove to be lucrative. Twitch is offering a 70 percent revenue split of net payment costs on the web for purchases of Hype Chats.That said, there are pretty obvious ways a bad actor could pay for Hype Chats to harass a streamer. To prevent situations like that, Twitch put a few safety features in place: viewers cannot send Hype Chat messages with banned words or phrases, for example, and Hype Chats from timed out or banned users will be removed. Streamers and their mods can also unpin Hype Chats if they want. But Taylor says that streamers who have Hype Chat (to start, Twitch partners) will not be able to opt out.Hype Chats add to a growing list of ways viewers can directly support streamers, including subscribing, gifting subs, and tipping with Bits. However, many partnered streamers still only receive 50 percent of their subscription revenue, though Twitch has spelled out the requirements for the “Partner Plus” program that makes you eligible for 70 percent of revenues starting in October. And we’ll have to wait and see if features like Hype Chats and the Partner Plus program are enough to keep streamers around; xQc and Amouranth, two hugely-popular streamers, just signed major deals to stream on Kick.","Twitch is introducing a new feature, Hype Chat, that lets users pay to pin messages at the top of a streamer’s chat feed. Hype Chat lets users pay to pin messages at the top of a streamer’s chat feed. if you’ve seen YouTube’s Super Chats, then Hype Chats should look pretty familiar."
"gaming, entertainment, playstation",An infamous Final Fantasy XIV monster returns in Final Fantasy XVI ,https://www.theverge.com/2023/6/22/23769740/final-fantasy-xvi-hunt-board-dread-comet, Return of the Red Choctober,Ash Parrish,"a reporter who has covered the business, culture, and communities of video games for seven years. Previously, she worked at Kotaku.",2023-06-22,"Final Fantasy XVI, out today, is stuffed with neat little homages and references to the Final Fantasy games that came before it. One of the game’s menus features sprites of Clive, Jill, Torgal, or whoever else is in your party if you’re nostalgic for the old pixel art from the game’s early days on the NES. When you speak to Harpocrates and have acquired enough lore, the old victory fanfare plays. But there’s one homage that’s more likely to inspire fear than warm fuzzy feelings.Red Comet is back, and he wants his revenge.Come with me back in time to 2020 when critically acclaimed MMORPG Final Fantasy XIV released patch 5.35 for the Shadowbringers expansion. The patch added typical post-expansion launch endgame activities, including a fight with an overworld boss called Red Comet, which, at first blush, just looked like a spicy chocobo.But he was a killing machine.Red Comet was uncharacteristically powerful and vicious for one of creation’s mildest and most beloved fake creatures, armed with moves that could wipe out high-level players. Naturally, in response, the memes poured in.Even the official Final Fantasy XIV Twitter account got in on the jokes.Fast forward three years, and the Red Comet has made a triumphant return. In Final Fantasy XVI, the hunt board returns, giving players the chance to hunt and fight unique creatures for special rewards. Though XIV calls it Dread Comet, it seems pretty obvious where the inspiration for this bird came from.I actually stumbled upon him by chance during a bit of exploring. One of the fun — and by fun, I mean sometimes frustrating — things about FFXVI is that depending on where you are or what you’re doing, the game will suddenly take away control to put you in a cutscene.That’s fine when you’re expecting it because you’ve hit the next bit of story, but I was out in the middle of the desert on some fetch quest or another, minding my own business. Suddenly, I’m in a cutscene. The music cued up. I heard a chocobo’s famous “KWEH!” cry; then the screen flashes, showing me my enemy.Seeing that it was an A-ranked mark, I — recalling the horror stories from this bird’s infamous namesake — thought to nope the hell out. But I decided to at least try to test my mettle against it and found it was surprisingly easy to beat, disappointingly so.Maybe FFXVI’s developers, some of whom, including producer Naoki Yoshida, worked on FFXIV, decided to make this bird easier to beat as an apology for Red Comet’s viciousness. Either way, I appreciate the neat little homage to one of the franchise’s deadliest birds.","FFXVI, out today, is stuffed with neat little homages and references to the Final Fantasy games that came before it. Final Fantasy XVI, out today, is stuffed with neat little homages and references to the games that came before it. the hunt board returns, giving players the chance to hunt and fight unique creatures for special rewards."
"creators, tech, chromebook",Google is making it easier for students to access Adobe Express on Chromebooks ,https://www.theverge.com/2023/6/22/23769026/google-chromeos-adobe-express-integration, The new integration will allow schools to pin the program to the ChromeOS shelf.,Monica Chin,a senior reviewer covering laptops and other gadgets. Monica was a writer for Tom's Guide and Business Insider before joining The Verge in 2020.,2023-06-22,"Google has announced a new integration with Adobe that will allow schools to easily distribute the Adobe Express platform on student Chromebooks.Adobe Express is a free, cloud-based design application that provides basic content creation tools for graphics, videos, and the like. Google hopes that students and teachers will use the software to incorporate more digital art into their assignments.“I’ve got three children, and one of my favorite activities every year is the science fair in the gymnasium,” says John Maletis, Google’s VP of ChromeOS product, engineering, and UX. “I envision an Adobe Express-powered science fair where you’ve got more immersive ways of explaining the experiment or the project.”Generally, licensing a third-party app across a fleet of student Chromebooks is a challenging multistep process requiring purchase orders, roster updates, and the like. “It requires a lot of perseverance,” said Govind Balakrishnan, Adobe’s senior vice president of Creative Cloud products and services, of that system.As of today, Adobe Express is available directly in the Google Admin console. An IT administrator merely needs to toggle it on in order to give a school, grade, or class access. They can also elect to pin Adobe Express to their Chromebooks’ shelf (which is its equivalent of the Windows taskbar).Teachers can also now assign, leave comments on, and grade Adobe Express projects within Google Classroom. Students can collaborate on Adobe Express projects, similarly to how they might in a shared Google Doc.ChromeOS is well known and widely used in the education space, but its lack of compatibility with certain popular third-party software that Windows users can access has remained a hang-up for some potential customers. The former has picked up several new apps in the creative space recently, including LumaFusion back in February and the Google Photos editor in March. The prototyping platform Figma also recently became widely accessible on education Chromebooks both in and outside of the US. The push for better third-party support has extended beyond the artistic realm: Minecraft left the early access phase on ChromeOS a few weeks ago.The Adobe Creative Cloud — the industry standard for content creation and a software suite generally assumed to be Windows and macOS territory — could help build the Chromebook’s case to teachers who want to assign creative projects. Handily for Adobe, a shelf icon could also drive students and instructors to use Express when they might otherwise have jumped to something else.Balakrishnan, though, hopes that the integration will inspire teachers to incorporate new creative elements into their curricula.He views the integration as “the first step in many that we hope to bring to market to make it significantly easier for teachers and students to blend creativity and productivity together,” he says. “For the longest time, we’ve viewed them as distinct pillars, and we’re increasingly seeing that there are opportunities to bring them closer together.”“We’ve just seen this shift in the way teachers are educating their students — they’re constantly looking for more creative methods,” Maletis says.The integration was part of a large slate of announcements that Google made at the ISTELive 23 Edtech conference in Philadelphia. The company also announced a number of other features for Google Classroom, including integration with its Read Along feature, sharable links to class templates, an expanded Google for Education App Hub, and more data controls and privacy toggles for Chromebooks.","Adobe Express is available directly in the Google Admin console. Adobe Express is a free, cloud-based design application that provides basic content creation tools for graphics, videos, and the like. students can assign, leave comments on, and grade Adobe Express projects within Google Classroom."
"transpo, policy, tech",Heavy-duty trucks would be required to have automatic emergency braking under new US rule ,https://www.theverge.com/2023/6/22/23769791/heavy-duty-trucks-automatic-emergency-braking-nhtsa," Vehicles over 10,000 pounds would be required to come standard with AEB as part of a broader effort to improve road safety.",Andrew J. Hawkins,"transportation editor with 10+ years of experience who covers EVs, public transportation, and aviation. His work has appeared in The New York Daily News and City & State.",2023-06-22,"Semi trucks and other heavy-duty vehicles would be required to come standard with automatic emergency braking (AEB) under a new rule proposed today by the Biden administration. The announcement follows a similar rule for all new passenger vehicles proposed last month and is part of a larger effort to slow the increase in fatal traffic crashes in recent years.The new rule would require heavy vehicles that weigh in excess of 10,000 pounds to come equipped with AEB, a technology that uses forward-facing cameras and other sensors to automatically apply the brakes when a crash is imminent. The system would be required to bring a vehicle to a complete stop at speeds as low as 6mph and as high as 50mph, the National Highway Traffic Safety Administration (NHTSA) said.“We have been focused on this rule making really for many, many years,” NHTSA Chief Counsel Ann Carlson said at a press briefing Thursday.Making AEB standard in all vehicles, both passenger and commercial, was included as part of the Bipartisan Infrastructure Law, which passed in late 2021. Supporters called it an important step toward the broader goal of improving road safety and reducing the number of vehicle crashes annually.According to NHTSA, there are approximately 60,000 rear-end crashes a year involving a heavy vehicle striking another vehicle. Under the proposed rule, the agency estimates 19,118 crashes would be prevented, saving 155 lives and preventing 8,814 injuries annually.After a 60-day public comment period, NHTSA will analyze the responses and make any necessary changes — a process that could take a few months. Carlson said she expects the final rule to go into effect sometime in 2024, at which point a phase-in period kicks off for truck manufacturers. For the heaviest trucks, Class 7 and 8, which typically weigh over 26,000 pounds, the effective date is three years from the rule going into effect.Research has shown that current AEB systems are decent at preventing low-speed rear-end crashes but are less effective when vehicles are traveling at fast but still average speeds. The American Automobile Association (AAA) has been testing AEB systems for years and found a variety of common scenarios in which the braking technology completely fails to do the job as advertised.T-bones and left-turn collisions, which account for around 40 percent of fatal crashes, are still almost impossible to prevent using AEB. Likewise, many AEB systems are crap at stopping vehicles from running over children, and at night, many of them are basically worthless.",", the biden administration said. “We have been focused on this rule making really for many, many years,” NHTSA chief counsel Ann Carlson said at a press briefing Thursday. “We have been focused on this rule making really for many, many years,” she said. “We have been focused on this rule making really for many, many years,” she said. “We have been focused on this rule making really for many, many years,” she said at a press briefing Thursday. “We have been focused on this rule"
"google, tech, google pixel",iPhone is dumb and besotted with Pixel in Google’s latest ad campaign ,https://www.theverge.com/2023/6/22/23769713/google-pixel-ad-apple-iphone-best-phones-forever," Do it, Google. Make ‘em kiss.",Jess Weatherbed,"a news writer focused on creative industries, computing, and internet culture. Jess started her career at TechRadar, covering news and hardware reviews.",2023-06-22,"Google has found a fun new way to dunk on Apple with an ad campaign for Pixel phones that straddles the line between cute and cringe. The search giant has released five videos — under the campaign name “Best Phones Forever” — which depict sitcom-like interactions between anthropomorphized versions of the Pixel 7 Pro and some sort of iPhone Pro. And it kinda seems like the phones want to bone each other?Google has pitched this as “what happens when two phones stop being rivals and start being friends,” though the campaign largely focuses on the iPhone’s apparent shortcomings compared to Pixel phones — such as astrophotography, security, and Apple’s lack of foldable devices. The iPhone is basically portrayed as an outdated, inexperienced dumb dumb across all of the videos. It’s a similar riff to Apple’s iconic “Get a Mac” campaign but with phones. And some weird, robotic sexual tension.Each of the videos follows a similar format. The iPhone and Pixel “characters” take part in various activities together, such as stargazing, watching a sunset, and going to the beach (which may or may not be a date). Then one of two things will happen:The first is that the iPhone says something lovably stupid to depict its inferiority to Pixel devices (“You know, night sight. With my night light,” it says in “Seeing Stars” after turning on its flash to take better pictures of the night sky) before promptly dying — a nod to long-standing complaints surrounding battery life on older iPhone models. The second is that somber music rolls in and the iPhone starts confessing its jealousy over many of the Pixel 7 Pro’s features. “When I was your age, people were showing me off to their friends,” the iPhone laments in Google’s “Plateau” video. “Astrophotography mode, Call Assist, 30x zoom… you can do so many things I may never be able to.” And then it dies again.Throughout everything, the iPhone waxes lyrical about how rad it thinks Pixel is, and there are a lot of weird, cutesy “will they, won’t they” moments. The Pixel has to clamber on top of the iPhone to save its life in the beach-themed ad (i.e., the phone activate its Battery Share feature to recharge the iPhone), and at one point, a Pixel Fold replaces the Pixel 7 Pro so that the character can “flash” the iPhone — opening up its brightly lit display like a sexy trench coat.Poking fun at Apple is a tried and tested method for marketing campaigns at this point. Samsung went heavy on this in the past, seeing particular success with its “Growing Up” ad in 2017. Google’s decision to dunk on the iPhone with chummy, lighthearted teasing also seems to have worked in the search giant’s favor — the reactions to these ads across YouTube, Twitter, and TikTok have been overwhelmingly positive so far. Sure, it’s slightly cringey, but the humor works, and it’s certainly memorable — truly an “enemies to lovers” kinda vibe, though I’m not sure what fanfiction category AO3 would need to file this under.","the iPhone is portrayed as an outdated, inexperienced dumb dumb dumb dumb across all of the videos. The first is that the iPhone says something lovably stupid to depict its inferiority to Pixel devices. the second is that somber music rolls in and the iPhone starts confessing its jealousy over many of the Pixel 7 Pro’s features."
"deals, tech, amazon prime day 2023",PSA: your friends at Verge Deals are here to guide you through Amazon Prime Day ,https://www.theverge.com/2023/6/22/23768680/verge-deals-newsletter-subscribe-amazon-prime-day-sales-discounts," This year’s coverage will include roundups, a live StoryStream, and a best-of newsletter you can subscribe to now.",Antonio G. Di Benedetto,"a writer covering tech deals and The Verge’s Deals newsletter, buying guides, and gift guides. Previously, he spent 15 years in the photography industry.",2023-06-22,"Amazon Prime Day is coming around once again on July 11th and 12th, making this a good time to remind you of our overall Verge Deals coverage, our deals newsletter, and all the deals-y stuff we’re going to be covering for you during the upcoming shopping event. We’re always on the lookout for quality tech deals to save you money on the stuff that’s actually worth spending your money on, and outside of Black Friday and Cyber Monday, Prime Day marks one of the best chances of the year to get some major discounts. Many of the gadgets we review will likely drop to their best prices to date — or at least close. It’s also an occasion with a whole lot of marketing noise and supposed “epic deals” that, frankly, can often suck. That’s why we want to do our best to help. We go to great lengths to find not just any deal but those we actually consider worthwhile for ourselves.This happens every day in our usual deals coverage — which consists of a daily deal roundup, the occasional breakout deal, and our weekly newsletter — but you can bet we’ll be kicking things into overdrive for Prime Day. We’ll be featuring a live StoryStream filled with lightning deals and highlights, a roundup of the very best Prime Day deals we can find, and a selection of other posts focused on various categories, all of which we’ll be updating throughout the two-day event. We’ll be spotlighting quality deals across smart home tech, tablets, e-readers, wireless earbuds, TVs, phones, video games, gaming peripherals, and whatever else we feel is right up the alley of the Verge faithful.So don’t stress too much about missing out on the best deals this Prime Day. Allow us to sift through all the dreck that Amazon (and other retailers running competing promotions) will likely be pushing. We’ll even be doing a special Prime Day edition of our newsletter, so if you’re not glued to your screen or our live coverage during the event, you’ll at least receive deals directly to your inbox in a neat and tidy package. Be sure to subscribe in advance and let us help you save some bread.And hey, feel free to give us a shout in the comments and let us know what you’re shopping for this coming Prime Day (if you’re shopping at all).",", and we’ll be highlighting quality deals across smart home tech, tablets, e-readers, wireless earbuds, TVs, phones, video games, gaming peripherals. We’ll be featuring a live StoryStream filled with lightning deals and highlights, a roundup of the very best Prime Day deals we can find."
"toys, gadgets, tech","This $400 Bumblebee robot can dance, kick, and pick itself up from a fall ",https://www.theverge.com/2023/6/22/23769660/bumblebee-robot-hasbro-robosen-toy-price, ...But it can’t transform.,Emma Roth,"a news writer who covers the streaming wars, consumer tech, crypto, social media, and much more. Previously, she was a writer and editor at MUO.",2023-06-22,"After creating the ultimate Optimus Prime toy, Hasbro and Robosen are back with yet another Transformers figure, and this time, it’s a 14-inch programmable robot modeled after Bumblebee. With a price tag of $399, this miniature Autobot can walk, squat, kick, lean, dance, and even pick itself up from the ground. But there is one thing it can’t do: transform.That’s probably one of the reasons why this Bumblebee figure is several hundred dollars less than its self-transforming Optimus Prime counterpart, which costs a cool $700 plus an extra $750 for the auto-converting trailer if you really want to go all out. But if you’re okay with the fact that this bot doesn’t actually do any transforming — or are just a huge fan of the Transformers franchise — you’ll probably still enjoy all the other cool things it can do.Equipped with 17 servo motors and 45 custom microchips, Bumblebee is capable of performing a variety of poses, with its ability to lean back without actually tipping over being one of its most impressive. If the Autobot does end up falling down, Robosen and Hasbro say it will “automatically get up on its own,” which is something I would definitely like to see, as my colleague Sean Hollister had trouble keeping Optimus Prime on two feet when testing the toy in 2021.Just like with Optimus, you can program Bumblebee to perform specific moves using its accompanying app. There’s no coding involved — you can either manually program Bumblebee by putting it in a sequence of positions for the app to track or you can use the app’s drag-and-drop interface to create a set of moves. Bumblebee can even perform alongside the $700 Elite Optimus Prime bot (or even the $1,000 Flagship Collector’s model) through a “mini theater” experience that lets you watch both Autobots carry out customizable stories and actions.You can also control Bumblebee using 20 different voice commands, like “dance,” “attack,” “pose,” and “open fire,” and it can even say 69 unique phrases from voice actor Dan Gilvezan thanks to its built-in speakers. Other neat details include LED eyes, working headlights on its feet, an illuminated blaster, and two walking speeds that adjust based on movement.If you’re thinking about getting your hands on this gadget, the Bumblebee G1 Performance bot is available for purchase now through Robosen’s website.","Optimus Prime is a 14-inch programmable robot modeled after Bumblebee. It can perform a variety of poses, with its ability to lean back without tipping over being one of its most impressive. but there is one thing it can’t do: transform. if you’re okay with the fact that this bot doesn’t actually do any transforming — or are just huge fan of the Transformers franchise — you’ll probably still enjoy all the other cool things it can do"
